# Origin	Destination	menuOption menuTarget objectID	Items	Quests	Skills	Duration	Display info
# Aldarin
3038 3192 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=650	Cabin Fever		6	Mos Le'Harmless
3038 3192 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=1280			6	Port Khazard
3038 3192 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=1300	Priest in Peril		6	Port Phasmatys
3038 3192 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=3500		50 Sailing	6	Port Roberts
3038 3192 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
3038 3192 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=4800	Song of the Elves		6	Prifddinas
3038 3192 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=3100	Children of the Sun		6	Sunset Coast
3038 3192 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=1700	Troubled Tortugans		6	The Summer Shore

# Port Tyras
2142 3122 0	1455 2968 0	Charter Trader Crewmember 1330	COINS=3200	Children of the Sun		6	Aldarin
2142 3122 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=3200			6	Brimhaven
2142 3122 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=3200			6	Catherby
2142 3122 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=3200	Children of the Sun		6	Civitas illa Fortis
2142 3122 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=3200			6	Corsair Cove
2142 3122 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=3200		67 Sailing	6	Deepfin Point
2142 3122 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=3200	The Grand Tree		6	Shipyard
2142 3122 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=3200			6	Land's End
2142 3122 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=1600	Cabin Fever		6	Mos Le'Harmless
2142 3122 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=3200			6	Musa Point
2142 3122 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=3200			6	Port Khazard
2142 3122 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=3200	Priest in Peril		6	Port Phasmatys
2142 3122 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=3200			6	Port Piscarilius
2142 3122 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=3200		50 Sailing	6	Port Roberts
2142 3122 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=3200			6	Port Sarim
2142 3122 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=3200	Song of the Elves		6	Prifddinas
2142 3122 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=3200	Children of the Sun		6	Sunset Coast
2142 3122 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=3200	Pandemonium		6	The Pandemonium
2142 3122 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=3200	Troubled Tortugans		6	The Summer Shore

# Prifddinas
2157 3330 0	1455 2968 0	Charter Trader Crewmember 1330	COINS=1800	Children of the Sun		6	Aldarin
2157 3330 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=3450			6	Brimhaven
2157 3330 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=3560			6	Catherby
2157 3330 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=1700	Children of the Sun		6	Civitas illa Fortis
2157 3330 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=1420			6	Corsair Cove
2157 3330 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=1200		67 Sailing	6	Deepfin Point
2157 3330 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=4000	The Grand Tree		6	Shipyard
2157 3330 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=1500			6	Land's End
2157 3330 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=2475	Cabin Fever		6	Mos Le'Harmless
2157 3330 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=4400			6	Musa Point
2157 3330 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=2800			6	Port Khazard
2157 3330 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=5200	Priest in Peril		6	Port Phasmatys
2157 3330 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=1200			6	Port Piscarilius
2157 3330 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=600		50 Sailing	6	Port Roberts
2157 3330 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=4800			6	Port Sarim
2157 3330 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
2157 3330 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=1800	Children of the Sun		6	Sunset Coast
2157 3330 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=3800	Pandemonium		6	The Pandemonium
2157 3330 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=2200	Troubled Tortugans		6	The Summer Shore

# Sunset Coast
1514 2971 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=2500			6	Brimhaven
1514 2971 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=2500			6	Catherby
1514 2971 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=500	Children of the Sun		6	Civitas illa Fortis
1514 2971 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=2100			6	Corsair Cove
1514 2971 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=1200		67 Sailing	6	Deepfin Point
1514 2971 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=3100	The Grand Tree		6	Shipyard
1514 2971 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=900			6	Land's End
1514 2971 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=2350	Cabin Fever		6	Mos Le'Harmless
1514 2971 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=3000			6	Musa Point
1514 2971 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=2300			6	Port Khazard
1514 2971 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=4500	Priest in Peril		6	Port Phasmatys
1514 2971 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=1100			6	Port Piscarilius
1514 2971 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=1400		50 Sailing	6	Port Roberts
1514 2971 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=3100			6	Port Sarim
1514 2971 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
1514 2971 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=1800	Song of the Elves		6	Prifddinas
1514 2971 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=3000	Pandemonium		6	The Pandemonium
1514 2971 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=2400	Troubled Tortugans		6	The Summer Shore

# The Pandemonium
3058 2975 0	1455 2968 0	Charter Trader Crewmember 1330	COINS=3000	Children of the Sun		6	Aldarin
3058 2975 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=400			6	Brimhaven
3058 2975 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=1200			6	Catherby
3058 2975 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=2800	Children of the Sun		6	Civitas illa Fortis
3058 2975 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=800			6	Corsair Cove
3058 2975 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=2800		67 Sailing	6	Deepfin Point
3058 2975 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=200	The Grand Tree		6	Shipyard
3058 2975 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=2600			6	Land's End
3058 2975 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=500	Cabin Fever		6	Mos Le'Harmless
3058 2975 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=700			6	Port Khazard
3058 2975 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=1000	Priest in Peril		6	Port Phasmatys
3058 2975 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=2400			6	Port Piscarilius
3058 2975 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=3600		50 Sailing	6	Port Roberts
3058 2975 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
3058 2975 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=3800	Song of the Elves		6	Prifddinas
3058 2975 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=3000	Children of the Sun		6	Sunset Coast
3058 2975 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=1600	Troubled Tortugans		6	The Summer Shore

# The Summer Shore
3155 2415 0	1455 2968 0	Charter Trader Crewmember 1330	COINS=2400	Children of the Sun		6	Aldarin
3155 2415 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=1900			6	Brimhaven
3155 2415 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=2000			6	Catherby
3155 2415 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=2200	Children of the Sun		6	Civitas illa Fortis
3155 2415 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=1600			6	Corsair Cove
3155 2415 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=1800		67 Sailing	6	Deepfin Point
3155 2415 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=1600	The Grand Tree		6	Shipyard
3155 2415 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=2400			6	Land's End
3155 2415 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=900	Cabin Fever		6	Mos Le'Harmless
3155 2415 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=1700			6	Musa Point
3155 2415 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=1800			6	Port Khazard
3155 2415 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=2000	Priest in Peril		6	Port Phasmatys
3155 2415 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=2600			6	Port Piscarilius
3155 2415 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=2500		50 Sailing	6	Port Roberts
3155 2415 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=1700			6	Port Sarim
3155 2415 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
3155 2415 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=2200	Song of the Elves		6	Prifddinas
3155 2415 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=2400	Children of the Sun		6	Sunset Coast
3155 2415 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=1600	Pandemonium		6	The Pandemonium
